中文項目名稱,健保支付點數,備註,生效起日,生效迄日,英文項目名稱,診療項目代碼,支付規定
牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 1)處方交付特約藥局調劑,230,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。,20060701,29101231,,00121C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 2)未開處方或處方由本院所自行調劑,230,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。,19990701,29101231,,00122C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
牙科門診診察費2.每位醫師每日門診量超過二十人次部分(>20) 1)處方交付特約藥局調劑,120,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。,20200401,29101231,,00123C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
牙科門診診察費2.每位醫師每日門診量超過二十人次部分(>20) 2)未開處方或處方由本院所自行調劑,120,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。,20200401,29101231,,00124C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
牙科門診診察費3.山地離島地區 1)處方交付特約藥局調劑,260,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。,20160401,29101231,,00125C,(三)前述適用鄉鎮牙醫師如有以下各項情形之一，不適用本原則之折付方式：；1.該分區已結算之最近四季浮
牙科門診診察費3.山地離島地區 2)未開處方或處方由本院所自行調劑,260,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。,20160401,29101231,,00126C,(三)前述適用鄉鎮牙醫師如有以下各項情形之一，不適用本原則之折付方式：；1.該分區已結算之最近四季浮
自閉症、失智症及重度以上特定身心障礙(非精神疾病)者診察費,520,限全民健康保險牙醫門診總額特殊醫療服務計畫適用對象之牙醫醫療服務申報。,20240401,29101231,,00128C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費－基層院所門診診察費　２.每位醫師每日門診量超過四十人次，但在六十人次以下（41-60）（２）開具慢性病連續處方並交付特約藥局調劑,275,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00141C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診查費–基層院所門診診查費 ２.每位醫師每日門診量超過四十人次，但在六十人次以下(41-60)（４）開具慢性病連續處方並由本院所自行調劑,250,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00142C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費－基層院所門診診察費3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（2）開具慢性病連續處方並交付特約藥局調劑,215,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00143C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（4）開具慢性病連續處方由本院所自行調劑,190,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00144C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
一般門診診察費–基層院所門診診察費 ４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150)（2）開具慢性病連續處方並交付特約藥局調劑,125,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00145C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （4）開具慢性病連續處方並由本院所自行調劑,100,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00146C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（2）開具慢性病連續處方並交付特約藥局調劑,105,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00147C,西醫基層醫療費用審查注意事項-內科；(一)門診部分審查原則：；1.門診處方用藥之審查，依照健保用藥之
一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（4）開具慢性病連續處方並由本院所自行調劑,80,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,20200401,29101231,,00148C,西醫基層醫療費用審查注意事項-內科；(一)門診部分審查原則：；1.門診處方用藥之審查，依照健保用藥之
一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,561,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20240401,29101231,,00158C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,536,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20240401,29101231,,00159C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費－基層院所門診診察費　2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,475,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20190901,29101231,,00160C,2.地區醫院(含)層級以下，且過去三個月內，平均每月每位護理人員訪視次數在三十人次(含)以下之院所，
一般門診診察費—基層院所門診診察費 2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,450,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20190901,29101231,,00161C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,415,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20190901,29101231,,00162C,9.連續化學療法廿四小時為一次連續性醫療行為，橫跨二日仍應以一日計算，即僅能申報37005B一次。；
一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,390,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20190901,29101231,,00163C,第三部 牙醫；一、醫事服務機構實施牙科診療項目，除本部所表列外，得適用本標準其他章節之項目。；二、牙
一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,325,註：1.以上第1至5點每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。2.第6點山地離島地區每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。4.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。5.處方由本院所自行調劑者，得另申報門診藥事服務費。6.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。7.本項支付點數含護理費29-39點。8.山地離島地區經總額受託單位與保險人共同協議認定之特殊地區院所得除外，以山地離島地區三十人次以下部分之支付點數申報。9.基層診所醫師診治病人後，應交付處方箋給病人，由病人自行選擇調劑之場所。,20190901,29101231,,00164C,9.連續化學療法廿四小時為一次連續性醫療行為，橫跨二日仍應以一日計算，即僅能申報37005B一次。；
